"","et","X1","X2","X3","X4","X5","X6","X7"
"A","Estados Unidos Mexicanos",33184755,NA,30601059,92.2142080000289,NA,2583696,7.78579199997107
"1","Aguascalientes",358613,NA,351673,98.064766196429,NA,6940,1.93523380357098
"2","Baja California",1011739,NA,946815,93.5829299849072,NA,64924,6.41707001509283
"3","Baja California Sur",234086,NA,207292,88.5537793802278,NA,26794,11.4462206197722
"4","Campeche",239196,NA,227144,94.9614542049198,NA,12052,5.03854579508019
"5","Coahuila de Zaragoza",820641,NA,806903,98.325942769128,NA,13738,1.67405723087196
"6","Colima",216640,NA,215855,99.6376477104874,NA,785,0.362352289512555
"7","Chiapas",1235883,NA,1080693,87.4429861079083,NA,155190,12.5570138920917
"8","Chihuahua",1153491,NA,1112306,96.4295343440044,NA,41185,3.57046565599558
"9","Ciudad de México",2630987,NA,2630987,100,NA,0,0
"10","Durango",496283,NA,481533,97.0279054491087,NA,14750,2.97209455089133
"11","Guanajuato",1484356,NA,1451883,97.8123172608188,NA,32473,2.18768273918117
"12","Guerrero",920817,NA,486146,52.7950722021857,NA,434671,47.2049277978143
"13","Hidalgo",788256,NA,761357,96.587529939512,NA,26899,3.41247006048796
"14","Jalisco",2252366,NA,2236966,99.3162745308711,NA,15400,0.683725469128907
"15","Estado de México",4445888,NA,4208802,94.6672970619143,NA,237086,5.33270293808571
"16","Michoacán de Ocampo",1205395,NA,1150622,95.4560123445012,NA,54773,4.54398765549882
"17","Morelos",562933,NA,509439,90.4972705455178,NA,53494,9.50272945448215
"18","Nayarit",371142,NA,327082,88.128533014318,NA,44060,11.871466985682
"19","Nuevo León",1381089,NA,1334692,96.6405495952831,NA,46397,3.35945040471686
"20","Oaxaca",1026830,NA,788322,76.7723965992423,NA,238508,23.2276034007577
"21","Puebla",1647523,NA,1463696,88.8422195016397,NA,183827,11.1577804983603
"22","Querétaro",537871,NA,487259,90.5903088286968,NA,50612,9.40969117130316
"23","Quintana Roo",520735,NA,484353,93.0133369180101,NA,36382,6.98666308198988
"24","San Luis Potosí",729462,NA,614973,84.3050083486186,NA,114489,15.6949916513814
"25","Sinaloa",826161,NA,815657,98.7285771175352,NA,10504,1.2714228824648
"26","Sonora",922086,NA,883037,95.765145550415,NA,39049,4.23485444958496
"27","Tabasco",636192,NA,457338,71.8867888939188,NA,178854,28.1132111060812
"28","Tamaulipas",993498,NA,928485,93.4561518996515,NA,65013,6.54384810034847
"29","Tlaxcala",313389,NA,296643,94.6564812421623,NA,16746,5.3435187578377
"30","Veracruz de Ignacio de la Llave",2209618,NA,1899490,85.9646328007828,NA,310128,14.0353671992172
"31","Yucatán",589320,NA,558630,94.7923029932804,NA,30690,5.20769700671961
"32","Zacatecas",422269,NA,394986,93.5389526581397,NA,27283,6.46104734186028
